"","created_at","screen_name","text","source","is_retweet","favorite_count","retweet_count","followers_count","city","datetime","date2"
"927",2019-03-07 07:13:08,"mansuryavas06","#RegaibKandili nin, dünyamız, İslâm âlemi ve milletimiz için hayırlara vesile olmasını dilerim. Huzur, bereket ve kardeşlik duygularıyla dolu nice kandilleri idrak etmek, duamız olsun.","Twitter for iPhone",FALSE,2288,296,1279698,"Ankara",2019-03-07 07:13:08,2019-03-07
"928",2019-03-06 16:33:39,"mansuryavas06","Hakkın yerini bulması ve Ankara’mızın geleceği için tüm avukat meslektaşlarımı seçim güvenliği adına görev almaya davet ediyorum. 

Gönüllü olmak için aşağıdaki irtibat bilgilerinden iletişime geçebilirsiniz. Ankara’da huzur ve bereket hepimiz için gelecek. #HakYeriniBulacak https://t.co/u3Dix4aG0p","Twitter for iPhone",FALSE,2585,638,1279698,"Ankara",2019-03-06 16:33:39,2019-03-06
"929",2019-03-06 13:50:58,"mansuryavas06","Bu akşam saat 20.00’de Yavuz Selim Demirağ ve Bahadırhan Dinçarslan’ın sunduğu “Ankara Özel” programına konuk olacağım. 

Ankara’mız için 31 Mart’tan sonra başlayacak huzur ve bereket değişimini konuşacağımız yayını Türkiyem TV’de izleyebilirsiniz. https://t.co/azw8EgP8wI","Twitter for iPhone",FALSE,957,172,1279698,"Ankara",2019-03-06 13:50:58,2019-03-06
"930",2019-03-06 11:38:37,"mansuryavas06","Bugün Ulus Rüzgarlı Caddesi'nde esnaflarımızla hasbihal ettik. Hepsine nezaketlerinden ve ilgilerinden ötürü teşekkür ediyoruz. Ankara’da çevre ilçelerden merkezine kadar en yoksulu, en muhtacı gözeteceğimize söz veriyoruz. Değişime 25 gün kaldı. #HakYeriniBulacak https://t.co/MBFbRXhP54","Twitter for iPhone",FALSE,1384,218,1279698,"Ankara",2019-03-06 11:38:37,2019-03-06
"931",2019-03-06 10:19:04,"mansuryavas06","Bugün öğlen saatlerinde TİMKODER’de esnaflarımızın sorunlarını ve yapılabilecekleri konuştuk.

Görüyoruz ki yıllardır var olan bu sorunlar hala çözülmüş değil. Biz tespitlerimiz sonucunda çözümlerimizi ürettik. 1 Nisan’da Ankara’da tüm kesimler için huzur ve bereket hakim olacak. https://t.co/rciW72ruMB","Twitter for iPhone",FALSE,789,134,1279698,"Ankara",2019-03-06 10:19:04,2019-03-06
"932",2019-03-06 06:33:08,"mansuryavas06","”Ulus Yeniden” projemiz ile Cumhuriyet tarihimizin ilk meydanlarından olan, şehir belleğinde önemli yere sahip Ulus bölgesinin eski güzelliğine kavuşturulması için geniş çaplı bir çalışma başlatacağız. 

Ankara’ya 31 Mart’tan sonra bereket ve huzur hakim olacak. #HakYeriniBulacak https://t.co/ii3QTMqtRG","Twitter for iPhone",FALSE,3308,580,1279698,"Ankara",2019-03-06 06:33:08,2019-03-06
"933",2019-03-05 18:48:35,"mansuryavas06","Bir şehir tek yürek olduğunda, bir destan yazılır Ankara'nın şafağında. 
Bir şehir tek yürek olduğunda, güneş yeniden doğar Ankara'nın sokaklarında.

Ankara'da kimseyi ayırt etmeden huzur ve bereketin mutluluğunu birlikte yaşayacağız. 

#HakYeriniBulacak #AnkaraKazanacak https://t.co/7Y6YIWv1Id","Twitter for iPhone",FALSE,5422,920,1279698,"Ankara",2019-03-05 18:48:35,2019-03-05
"934",2019-03-05 17:31:32,"mansuryavas06","Akşam saatlerinde Sincan’a bağlı Ücret ve Çokören köylerimizi ziyaret ettik. Çok değerli hemşehrilerimizle muhabbet ettik. Sorunlarına çözümlerimizi teker teker anlattık.

Projelerimiz hazır; 1 Nisan’dan sonra köylerimiz kazanacak, Ankara kazanacak. #HakYeriniBulacak https://t.co/Fb2wPYCl3b","Twitter for iPhone",FALSE,1989,332,1279698,"Ankara",2019-03-05 17:31:32,2019-03-05
"935",2019-03-05 16:17:25,"mansuryavas06","Ankara sınırları içerisinde kardeş olmamızı sağlayacak ibretlik bir hikaye ortadayken, bu şehrin insanlarını kamplara bölmek isteyenlere asla müsaade etmeyeceğiz. 

Duatepe/Sakarya Meydan Muhaberesi alanını görmeyen, hikayesini bilmeyen tek bir öğrenci kalmasın istiyoruz. https://t.co/gYCFHsiwXn","Twitter for iPhone",TRUE,0,917,1279698,"Ankara",2019-03-05 16:17:25,2019-03-05
"936",2019-03-05 13:37:11,"mansuryavas06","Bugün Polatlı ilçemizde hemşehrilerimizin sevgisi ve coşkusuyla karşılandık. Ardından Polatlı Seçim Koordinasyon Merkezi açılışımıza katıldık. Bizim için gelen tüm hemşehrilerimize gönülden teşekkür ediyoruz. Polatlı bugün değişime hazır olduğunu gösterdi. #HakYeriniBulacak https://t.co/LYl1K0W59T","Twitter for iPhone",FALSE,2604,439,1279698,"Ankara",2019-03-05 13:37:11,2019-03-05
